52026 silly lifecycle ansi-styles@2.1.0~preinstall: no script for preinstall, continuing
55193 info linkStuff plur@1.0.0
55194 silly linkStuff plur@1.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55195 verbose linkBins plur@1.0.0
55196 verbose linkMans plur@1.0.0
55197 silly build async@0.1.15
55198 info linkStuff async@0.1.15
55199 silly linkStuff async@0.1.15 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/portscanner/node_modules as its parent node_modules
55200 verbose linkBins async@0.1.15
55201 verbose linkMans async@0.1.15
55202 silly build portscanner@0.2.3
55203 info linkStuff portscanner@0.2.3
55204 silly linkStuff portscanner@0.2.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55205 verbose linkBins portscanner@0.2.3
55206 verbose linkMans portscanner@0.2.3
55207 silly build prepend-http@1.0.3
55208 info linkStuff prepend-http@1.0.3
55209 silly linkStuff prepend-http@1.0.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55210 verbose linkBins prepend-http@1.0.3
55211 verbose linkMans prepend-http@1.0.3
55212 silly build pretty-bytes@0.1.2
55213 info linkStuff pretty-bytes@0.1.2
55214 silly linkStuff pretty-bytes@0.1.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55215 verbose linkBins pretty-bytes@0.1.2
55216 verbose link bins [ { 'pretty-bytes': 'cli.js' },
55216 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin',
55216 verbose link bins   false ]
55217 verbose linkMans pretty-bytes@0.1.2
55218 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/pretty-bytes is being purged
55219 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/pretty-bytes
55220 silly build pretty-ms@2.1.0
55221 info linkStuff pretty-ms@2.1.0
55222 silly linkStuff pretty-ms@2.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55223 verbose linkBins pretty-ms@2.1.0
55224 verbose linkMans pretty-ms@2.1.0
55225 silly build process-nextick-args@1.0.3
55226 info linkStuff process-nextick-args@1.0.3
55227 silly linkStuff process-nextick-args@1.0.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55228 verbose linkBins process-nextick-args@1.0.3
55229 verbose linkMans process-nextick-args@1.0.3
55230 silly build progress@1.1.8
55231 info linkStuff progress@1.1.8
55232 silly linkStuff progress@1.1.8 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55233 verbose linkBins progress@1.1.8
55234 verbose linkMans progress@1.1.8
55235 silly build proto-list@1.2.4
55236 info linkStuff proto-list@1.2.4
55237 silly linkStuff proto-list@1.2.4 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55238 verbose linkBins proto-list@1.2.4
55239 verbose linkMans proto-list@1.2.4
55240 silly build config-chain@1.1.9
55241 info linkStuff config-chain@1.1.9
55242 silly linkStuff config-chain@1.1.9 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55243 verbose linkBins config-chain@1.1.9
55244 verbose linkMans config-chain@1.1.9
55245 silly build q@1.4.1
55246 info linkStuff q@1.4.1
55247 silly linkStuff q@1.4.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55248 verbose linkBins q@1.4.1
55249 verbose linkMans q@1.4.1
55250 silly build coa@1.0.1
55251 info linkStuff coa@1.0.1
55252 silly linkStuff coa@1.0.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55253 verbose linkBins coa@1.0.1
55254 verbose linkMans coa@1.0.1
55255 silly build qs@0.6.6
55256 info linkStuff qs@0.6.6
55257 silly linkStuff qs@0.6.6 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55258 verbose linkBins qs@0.6.6
55259 verbose linkMans qs@0.6.6
55260 silly build range-parser@1.0.3
55261 info linkStuff range-parser@1.0.3
55262 silly linkStuff range-parser@1.0.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55263 verbose linkBins range-parser@1.0.3
55264 verbose linkMans range-parser@1.0.3
55265 silly build raw-body@1.1.6
55266 info linkStuff raw-body@1.1.6
55267 silly linkStuff raw-body@1.1.6 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55268 verbose linkBins raw-body@1.1.6
55269 verbose linkMans raw-body@1.1.6
55270 silly build minimist@0.0.10
55271 info linkStuff minimist@0.0.10
55272 silly linkStuff minimist@0.0.10 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/rc/node_modules as its parent node_modules
55273 verbose linkBins minimist@0.0.10
55274 verbose linkMans minimist@0.0.10
55275 silly build relateurl@0.2.6
55276 info linkStuff relateurl@0.2.6
55277 silly linkStuff relateurl@0.2.6 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55278 verbose linkBins relateurl@0.2.6
55279 verbose linkMans relateurl@0.2.6
55280 silly build repeating@2.0.0
55281 info linkStuff repeating@2.0.0
55282 silly linkStuff repeating@2.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55283 verbose linkBins repeating@2.0.0
55284 verbose linkMans repeating@2.0.0
55285 silly build indent-string@2.1.0
55286 info linkStuff indent-string@2.1.0
55287 silly linkStuff indent-string@2.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55288 verbose linkBins indent-string@2.1.0
55289 verbose linkMans indent-string@2.1.0
55290 silly build replace-ext@0.0.1
55291 info linkStuff replace-ext@0.0.1
55292 silly linkStuff replace-ext@0.0.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55293 verbose linkBins replace-ext@0.0.1
55294 verbose linkMans replace-ext@0.0.1
55295 silly build vinyl@0.5.3
55296 info linkStuff vinyl@0.5.3
55297 silly linkStuff vinyl@0.5.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/gulp-util/node_modules as its parent node_modules
55298 verbose linkBins vinyl@0.5.3
55299 verbose linkMans vinyl@0.5.3
55300 silly build mime-types@1.0.2
55301 info linkStuff mime-types@1.0.2
55302 silly linkStuff mime-types@1.0.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/request/node_modules as its parent node_modules
55303 verbose linkBins mime-types@1.0.2
55304 verbose linkMans mime-types@1.0.2
55305 silly build qs@1.2.2
55306 info linkStuff qs@1.2.2
55307 silly linkStuff qs@1.2.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/request/node_modules as its parent node_modules
55308 verbose linkBins qs@1.2.2
55309 verbose linkMans qs@1.2.2
55310 silly build response-time@2.0.0
55311 info linkStuff response-time@2.0.0
55312 silly linkStuff response-time@2.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55313 verbose linkBins response-time@2.0.0
55314 verbose linkMans response-time@2.0.0
55315 silly build rimraf@2.2.8
55316 info linkStuff rimraf@2.2.8
55317 silly linkStuff rimraf@2.2.8 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55318 verbose linkBins rimraf@2.2.8
55319 verbose link bins [ { rimraf: './bin.js' },
55319 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin',
55319 verbose link bins   false ]
55320 verbose linkMans rimraf@2.2.8
55321 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/rimraf is being purged
55322 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/rimraf
55323 silly build grunt-contrib-clean@0.6.0
55324 info linkStuff grunt-contrib-clean@0.6.0
55325 silly linkStuff grunt-contrib-clean@0.6.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55326 verbose linkBins grunt-contrib-clean@0.6.0
55327 verbose linkMans grunt-contrib-clean@0.6.0
55328 silly build fs-extra@0.23.1
55329 info linkStuff fs-extra@0.23.1
55330 silly linkStuff fs-extra@0.23.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55331 verbose linkBins fs-extra@0.23.1
55332 verbose linkMans fs-extra@0.23.1
55333 silly build rndm@1.2.0
55334 info linkStuff rndm@1.2.0
55335 silly linkStuff rndm@1.2.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55336 verbose linkBins rndm@1.2.0
55337 verbose linkMans rndm@1.2.0
55338 silly build sax@1.1.4
55339 info linkStuff sax@1.1.4
55340 silly linkStuff sax@1.1.4 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55341 verbose linkBins sax@1.1.4
55342 verbose linkMans sax@1.1.4
55343 silly build scmp@0.0.3
55344 info linkStuff scmp@0.0.3
55345 silly linkStuff scmp@0.0.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55346 verbose linkBins scmp@0.0.3
55347 verbose linkMans scmp@0.0.3
55348 silly build commander@2.8.1
55349 info linkStuff commander@2.8.1
55350 silly linkStuff commander@2.8.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/seek-bzip/node_modules as its parent node_modules
55351 verbose linkBins commander@2.8.1
55352 verbose linkMans commander@2.8.1
55353 silly build seek-bzip@1.0.5
55354 info linkStuff seek-bzip@1.0.5
55355 silly linkStuff seek-bzip@1.0.5 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55356 verbose linkBins seek-bzip@1.0.5
55357 verbose link bins [ { 'seek-bunzip': './bin/seek-bunzip',
55357 verbose link bins     'seek-table': './bin/seek-bzip-table' },
55357 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin',
55357 verbose link bins   false ]
55358 verbose linkMans seek-bzip@1.0.5
55359 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/seek-bunzip is being purged
55360 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/seek-bunzip
55361 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/seek-table is being purged
55362 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/seek-table
55363 silly build semver@5.1.0
55364 info linkStuff semver@5.1.0
55365 silly linkStuff semver@5.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55366 verbose linkBins semver@5.1.0
55367 verbose link bins [ { semver: './bin/semver' },
55367 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin',
55367 verbose link bins   false ]
55368 verbose linkMans semver@5.1.0
55369 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/semver is being purged
55370 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/semver
55371 silly build semver-regex@1.0.0
55372 info linkStuff semver-regex@1.0.0
55373 silly linkStuff semver-regex@1.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55374 verbose linkBins semver-regex@1.0.0
55375 verbose linkMans semver-regex@1.0.0
55376 silly build semver-truncate@1.1.0
55377 info linkStuff semver-truncate@1.1.0
55378 silly linkStuff semver-truncate@1.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55379 verbose linkBins semver-truncate@1.1.0
55380 verbose linkMans semver-truncate@1.1.0
55381 silly build send@0.4.3
55382 info linkStuff send@0.4.3
55383 silly linkStuff send@0.4.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55384 verbose linkBins send@0.4.3
55385 verbose linkMans send@0.4.3
55386 silly build sentence-case@1.1.2
55387 info linkStuff sentence-case@1.1.2
55388 silly linkStuff sentence-case@1.1.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55389 verbose linkBins sentence-case@1.1.2
55390 verbose linkMans sentence-case@1.1.2
55391 silly build path-case@1.1.1
55392 info linkStuff path-case@1.1.1
55393 silly linkStuff path-case@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55394 verbose linkBins path-case@1.1.1
55395 verbose linkMans path-case@1.1.1
55396 silly build param-case@1.1.1
55397 info linkStuff param-case@1.1.1
55398 silly linkStuff param-case@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55399 verbose linkBins param-case@1.1.1
55400 verbose linkMans param-case@1.1.1
55401 silly build dot-case@1.1.1
55402 info linkStuff dot-case@1.1.1
55403 silly linkStuff dot-case@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55404 verbose linkBins dot-case@1.1.1
55405 verbose linkMans dot-case@1.1.1
55406 silly build serve-favicon@2.0.1
55407 info linkStuff serve-favicon@2.0.1
55408 silly linkStuff serve-favicon@2.0.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55409 verbose linkBins serve-favicon@2.0.1
55410 verbose linkMans serve-favicon@2.0.1
55411 silly build serve-index@1.1.1
55412 info linkStuff serve-index@1.1.1
55413 silly linkStuff serve-index@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55414 verbose linkBins serve-index@1.1.1
55415 verbose linkMans serve-index@1.1.1
55416 silly build serve-static@1.2.3
55417 info linkStuff serve-static@1.2.3
55418 silly linkStuff serve-static@1.2.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55419 verbose linkBins serve-static@1.2.3
55420 verbose linkMans serve-static@1.2.3
55421 silly build set-immediate-shim@1.0.1
55422 info linkStuff set-immediate-shim@1.0.1
55423 silly linkStuff set-immediate-shim@1.0.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55424 verbose linkBins set-immediate-shim@1.0.1
55425 verbose linkMans set-immediate-shim@1.0.1
55426 silly build each-async@1.1.1
55427 info linkStuff each-async@1.1.1
55428 silly linkStuff each-async@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55429 verbose linkBins each-async@1.1.1
55430 verbose linkMans each-async@1.1.1
55431 silly build shelljs@0.3.0
55432 info linkStuff shelljs@0.3.0
55433 silly linkStuff shelljs@0.3.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55434 verbose linkBins shelljs@0.3.0
55435 verbose link bins [ { shjs: './bin/shjs' },
55435 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin',
55435 verbose link bins   false ]
55436 verbose linkMans shelljs@0.3.0
55437 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/shjs is being purged
55438 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/shjs
55439 silly build sigmund@1.0.1
55440 info linkStuff sigmund@1.0.1
55441 silly linkStuff sigmund@1.0.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55442 verbose linkBins sigmund@1.0.1
55443 verbose linkMans sigmund@1.0.1
55444 silly build minimatch@0.3.0
55445 info linkStuff minimatch@0.3.0
55446 silly linkStuff minimatch@0.3.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/multimatch/node_modules as its parent node_modules
55447 verbose linkBins minimatch@0.3.0
55448 verbose linkMans minimatch@0.3.0
55449 silly build multimatch@0.3.0
55450 info linkStuff multimatch@0.3.0
55451 silly linkStuff multimatch@0.3.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55452 verbose linkBins multimatch@0.3.0
55453 verbose linkMans multimatch@0.3.0
55454 silly build minimatch@0.2.14
55455 info linkStuff minimatch@0.2.14
55456 silly linkStuff minimatch@0.2.14 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55457 verbose linkBins minimatch@0.2.14
55458 verbose linkMans minimatch@0.2.14
55459 silly build glob@3.2.3
55460 info linkStuff glob@3.2.3
55461 silly linkStuff glob@3.2.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules as its parent node_modules
55462 verbose linkBins glob@3.2.3
55463 verbose linkMans glob@3.2.3
55464 silly build mocha@2.3.4
55465 info linkStuff mocha@2.3.4
55466 silly linkStuff mocha@2.3.4 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules as its parent node_modules
55467 verbose linkBins mocha@2.3.4
55468 verbose link bins [ { mocha: './bin/mocha', _mocha: './bin/_mocha' },
55468 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules/.bin',
55468 verbose link bins   false ]
55469 verbose linkMans mocha@2.3.4
55470 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules/.bin/mocha is being purged
55471 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules/.bin/mocha
55472 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules/.bin/_mocha is being purged
55473 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/node-sass/node_modules/.bin/_mocha
55474 silly build glob@3.2.3
55475 info linkStuff glob@3.2.3
55476 silly linkStuff glob@3.2.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/mocha/node_modules as its parent node_modules
55477 verbose linkBins glob@3.2.3
55478 verbose linkMans glob@3.2.3
55479 silly build mocha@1.21.5
55480 info linkStuff mocha@1.21.5
55481 silly linkStuff mocha@1.21.5 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55482 verbose linkBins mocha@1.21.5
55483 verbose link bins [ { mocha: './bin/mocha', _mocha: './bin/_mocha' },
55483 verbose link bins   '/Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin',
55483 verbose link bins   false ]
55484 verbose linkMans mocha@1.21.5
55485 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/mocha is being purged
55486 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/mocha
55487 silly gentlyRm /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/_mocha is being purged
55488 verbose gentlyRm don't care about contents; nuking /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/.bin/_mocha
55489 silly build glob@3.1.21
55490 info linkStuff glob@3.1.21
55491 silly linkStuff glob@3.1.21 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55492 verbose linkBins glob@3.1.21
55493 verbose linkMans glob@3.1.21
55494 silly build globule@0.1.0
55495 info linkStuff globule@0.1.0
55496 silly linkStuff globule@0.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55497 verbose linkBins globule@0.1.0
55498 verbose linkMans globule@0.1.0
55499 silly build gaze@0.5.2
55500 info linkStuff gaze@0.5.2
55501 silly linkStuff gaze@0.5.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55502 verbose linkBins gaze@0.5.2
55503 verbose linkMans gaze@0.5.2
55504 silly build glob-watcher@0.0.8
55505 info linkStuff glob-watcher@0.0.8
55506 silly linkStuff glob-watcher@0.0.8 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55507 verbose linkBins glob-watcher@0.0.8
55508 verbose linkMans glob-watcher@0.0.8
55509 silly build minimatch@1.0.0
55510 info linkStuff minimatch@1.0.0
55511 silly linkStuff minimatch@1.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/jshint/node_modules as its parent node_modules
55512 verbose linkBins minimatch@1.0.0
55513 verbose linkMans minimatch@1.0.0
55514 silly build minimatch@0.3.0
55515 info linkStuff minimatch@0.3.0
55516 silly linkStuff minimatch@0.3.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/findup-sync/node_modules as its parent node_modules
55517 verbose linkBins minimatch@0.3.0
55518 verbose linkMans minimatch@0.3.0
55519 silly build glob@3.2.11
55520 info linkStuff glob@3.2.11
55521 silly linkStuff glob@3.2.11 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/findup-sync/node_modules as its parent node_modules
55522 verbose linkBins glob@3.2.11
55523 verbose linkMans glob@3.2.11
55524 silly build findup-sync@0.1.3
55525 info linkStuff findup-sync@0.1.3
55526 silly linkStuff findup-sync@0.1.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55527 verbose linkBins findup-sync@0.1.3
55528 verbose linkMans findup-sync@0.1.3
55529 silly build load-grunt-tasks@0.6.0
55530 info linkStuff load-grunt-tasks@0.6.0
55531 silly linkStuff load-grunt-tasks@0.6.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55532 verbose linkBins load-grunt-tasks@0.6.0
55533 verbose linkMans load-grunt-tasks@0.6.0
55534 silly build minimatch@0.3.0
55535 info linkStuff minimatch@0.3.0
55536 silly linkStuff minimatch@0.3.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/cli/node_modules as its parent node_modules
55537 verbose linkBins minimatch@0.3.0
55538 verbose linkMans minimatch@0.3.0
55539 silly build glob@3.2.11
55540 info linkStuff glob@3.2.11
55541 silly linkStuff glob@3.2.11 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/cli/node_modules as its parent node_modules
55542 verbose linkBins glob@3.2.11
55543 verbose linkMans glob@3.2.11
55544 silly build cli@0.6.6
55545 info linkStuff cli@0.6.6
55546 silly linkStuff cli@0.6.6 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55547 verbose linkBins cli@0.6.6
55548 verbose linkMans cli@0.6.6
55549 silly build signal-exit@2.1.2
55550 info linkStuff signal-exit@2.1.2
55551 silly linkStuff signal-exit@2.1.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55552 verbose linkBins signal-exit@2.1.2
55553 verbose linkMans signal-exit@2.1.2
55554 silly build loud-rejection@1.2.0
55555 info linkStuff loud-rejection@1.2.0
55556 silly linkStuff loud-rejection@1.2.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55557 verbose linkBins loud-rejection@1.2.0
55558 verbose linkMans loud-rejection@1.2.0
55559 silly build snake-case@1.1.1
55560 info linkStuff snake-case@1.1.1
55561 silly linkStuff snake-case@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55562 verbose linkBins snake-case@1.1.1
55563 verbose linkMans snake-case@1.1.1
55564 silly build sntp@0.2.4
55565 info linkStuff sntp@0.2.4
55566 silly linkStuff sntp@0.2.4 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55567 verbose linkBins sntp@0.2.4
55568 verbose linkMans sntp@0.2.4
55569 silly build hawk@1.1.1
55570 info linkStuff hawk@1.1.1
55571 silly linkStuff hawk@1.1.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55572 verbose linkBins hawk@1.1.1
55573 verbose linkMans hawk@1.1.1
55574 silly build source-map@0.3.0
55575 info linkStuff source-map@0.3.0
55576 silly linkStuff source-map@0.3.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55577 verbose linkBins source-map@0.3.0
55578 verbose linkMans source-map@0.3.0
55579 silly build sparkles@1.0.0
55580 info linkStuff sparkles@1.0.0
55581 silly linkStuff sparkles@1.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55582 verbose linkBins sparkles@1.0.0
55583 verbose linkMans sparkles@1.0.0
55584 silly build has-gulplog@0.1.0
55585 info linkStuff has-gulplog@0.1.0
55586 silly linkStuff has-gulplog@0.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55587 verbose linkBins has-gulplog@0.1.0
55588 verbose linkMans has-gulplog@0.1.0
55589 silly build glogg@1.0.0
55590 info linkStuff glogg@1.0.0
55591 silly linkStuff glogg@1.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55592 verbose linkBins glogg@1.0.0
55593 verbose linkMans glogg@1.0.0
55594 silly build gulplog@1.0.0
55595 info linkStuff gulplog@1.0.0
55596 silly linkStuff gulplog@1.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55597 verbose linkBins gulplog@1.0.0
55598 verbose linkMans gulplog@1.0.0
55599 silly build spdx-exceptions@1.0.4
55600 info linkStuff spdx-exceptions@1.0.4
55601 silly linkStuff spdx-exceptions@1.0.4 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55602 verbose linkBins spdx-exceptions@1.0.4
55603 verbose linkMans spdx-exceptions@1.0.4
55604 silly build spdx-license-ids@1.1.0
55605 info linkStuff spdx-license-ids@1.1.0
55606 silly linkStuff spdx-license-ids@1.1.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55607 verbose linkBins spdx-license-ids@1.1.0
55608 verbose linkMans spdx-license-ids@1.1.0
55609 silly build spdx-expression-parse@1.0.1
55610 info linkStuff spdx-expression-parse@1.0.1
55611 silly linkStuff spdx-expression-parse@1.0.1 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55612 verbose linkBins spdx-expression-parse@1.0.1
55613 verbose linkMans spdx-expression-parse@1.0.1
55614 silly build spdx-correct@1.0.2
55615 info linkStuff spdx-correct@1.0.2
55616 silly linkStuff spdx-correct@1.0.2 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55617 verbose linkBins spdx-correct@1.0.2
55618 verbose linkMans spdx-correct@1.0.2
55619 silly build sprintf-js@1.0.3
55620 info linkStuff sprintf-js@1.0.3
55621 silly linkStuff sprintf-js@1.0.3 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules as its parent node_modules
55622 verbose linkBins sprintf-js@1.0.3
55623 verbose linkMans sprintf-js@1.0.3
55624 silly build ansi-regex@2.0.0
55625 info linkStuff ansi-regex@2.0.0
55626 silly linkStuff ansi-regex@2.0.0 has /Users/user/Documents/coding/Projects/JS/Brewbeck_v2/node_modules/squeak/node_modules as its parent node_modules
